sample_id,run_id,assay_id,read_mode,fastq_1,fastq_2
ITS2_60,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_60_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_60_2.fastq.gz
ITS2_61,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_61_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_61_2.fastq.gz
ITS2_62,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_62_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_62_2.fastq.gz
ITS2_63,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_63_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_63_2.fastq.gz
ITS2_67,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_67_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_67_2.fastq.gz
ITS2_68,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_68_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_68_2.fastq.gz
ITS2_74,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_74_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_74_2.fastq.gz
ITS2_76,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_76_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_76_2.fastq.gz
ITS2_78,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_78_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_78_2.fastq.gz
ITS2_80,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_80_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_80_2.fastq.gz
ITS2_81,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_81_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_81_2.fastq.gz
ITS2_8,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_8_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_8_2.fastq.gz
ITS2_82,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_82_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_82_2.fastq.gz
ITS2_84,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_84_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_84_2.fastq.gz
ITS2_86,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_86_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_86_2.fastq.gz
ITS2_88,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_88_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_88_2.fastq.gz
ITS2_90,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_90_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_90_2.fastq.gz
ITS2_91,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_91_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_91_2.fastq.gz
ITS2_9,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_9_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_9_2.fastq.gz
ITS2_92,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_92_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_92_2.fastq.gz
ITS2_93,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_93_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_93_2.fastq.gz
ITS2_97,HN00276571,ITS2,paired,/data/FASTQ/HN00276571/ITS2_97_1.fastq.gz,/data/FASTQ/HN00276571/ITS2_97_2.fastq.gz
